■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2025-09-06,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2025-08-29~2025-09-05???영화구분: 전체???국적: 한국???지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 05일(금),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
48,강령: 귀신놀이,2025-08-06,"19,000",0.0%,"-42,000",-68.9%,"706,034,300",3,-3,-50.0%,"72,291",2,2,한국,한국,(주)이오콘텐츠그룹,(주)스튜디오디에이치엘,15세이상관람가,"공포(호러),미스터리,스릴러",손동완,"김예림,이찬형,서동현,오소현,김은비,박서연,이다은,윤별하,유승아,정상훈,이진주,윤혜진,조수경,윤대성,노상현,김용선,구민혁,이경현,손평형,김지예,조예명,박승렬,김민호,손호은,김도훈,김진주,임세령,정유진,백가은,유영현"
48,겨울의 빛,,"21,000",0.0%,"-82,000",-79.6%,"124,000",3,-9,-75.0%,15,1,1,한국,한국,한국영화아카데미,,,드라마,조현서,
51,전지적 독자 시점,2025-07-23,"14,000",0.0%,"-428,000",-96.8%,"10,050,972,260",2,-54,-96.4%,"1,060,963",1,1,한국,한국,리얼라이즈픽쳐스(주),롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"판타지,액션",김병우,"안효섭,이민호,채수빈,신승호,나나,지수,권은성,박호산,최영준,이석,정성일,조성희,은수,이유진,문우진,정찬훈,노정현"
51,고고다이노 극장판: 게코도마뱀의 꿈,2025-07-30,"23,000",0.0%,"-170,500",-88.1%,"579,309,500",2,-27,-93.1%,"63,076",1,1,한국,한국,(주)모꼬지,(주)모꼬지,전체관람가,애니메이션,이원재,"임승미,원옥화,진양욱,조영철,우정민"
51,녹턴,2022-08-18,"4,000",0.0%,"-23,000",-85.2%,"82,030,100",2,-4,-66.7%,"11,640",1,2,한국,한국,포이에티케,(주)시네마달,12세이상관람가,다큐멘터리,정관조,"은성호,은건기,손민서"
54,극장판 다이노맨: 공룡산의 비밀,2025-07-25,"10,000",0.0%,"1,000",11.1%,"62,900,750",1,0,0.0%,"9,210",1,1,한국,한국,"(주)스튜디오버튼 ,(주)플레이그램",(주)플레이그램,전체관람가,애니메이션,김호락,
합계,,,"595,145,420",,,,"174,126,089,459","61,195",,,"19,336,666","1,973","4,742",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 04일(목),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
1,좀비딸,2025-07-30,"119,587,700",60.4%,"-14,043,000",-10.5%,"51,273,160,590","12,983","-1,619",-11.1%,"5,411,863",675,"1,729",한국,한국,스튜디오엔(주),(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",필감성,"조정석,이정은,조여정,윤경호,최유리,이주미"
2,악마가 이사왔다,2025-08-13,"12,823,700",6.5%,"-958,400",-7.0%,"4,035,317,910","1,535",18,1.2%,"425,187",88,109,한국,한국,(주)외유내강,(주)씨제이이엔엠,12세이상관람가,"미스터리,코미디",이상근,"임윤아,안보현,성동일,주현영"
3,3670,2025-09-03,"7,847,500",4.0%,"-6,020,200",-43.4%,"33,942,200",868,-636,-42.3%,"3,690",64,88,한국,한국,오롯필름,(주)엣나인필름,15세이상관람가,"드라마,멜로/로맨스",박준호,"조유현,김현목,조대희,배한솔,임지형,전두식,하승우,윤설,김진이,차미경,유태규"
4,3학년 2학기,2025-09-03,"6,468,800",3.3%,"-1,990,400",-23.5%,"38,074,000",804,-372,-31.6%,"4,671",80,93,한국,한국,작업장 봄,작업장 봄,12세이상관람가,드라마,이란희,"유이하,김성국,양지운,김소완,강진아"
5,가족의 비밀,2025-09-10,"5,742,000",2.9%,"5,742,000",100.0%,"5,742,000",638,638,100.0%,638,3,3,한국,한국,(주)오예스,(주)스튜디오디에이치엘,12세이상관람가,"드라마,코미디",이상훈,"김혜은,김법래,김보윤,김현재,윤기원,박현우,김이온,김형묵,최홍일,안신우,장명갑,김홍표,이윤권,최원준,권훈,김나은,김신영,이서연,박관우,김진혁,최준식,김태엽,오승호,박정현,서민주,오연희,김정인,손상경,한다희,고나영,오채영,류자영,오영준,박선우,이도하,이재민,이재원,양원석,김정훈,이장현,이상민,김은정,권순상,허진석"
6,온리 갓 노우즈 에브리띵,2025-08-22,"3,439,000",1.7%,"877,700",34.3%,"209,002,420",434,110,34.0%,"23,934",18,19,한국,한국,(주)백그림,(주)트리플픽쳐스,15세이상관람가,"미스터리,스릴러",백승환,"신승호,한지은,박명훈,전소민,이중옥,이지현,유성주,신서우,정은경,이재환,유지혁,김일현,유병훈,이병수,송동환,백주환,이창주,남중규,유재명,양권석,이윤화,주상현,배성민,황원규,강해빈"
7,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,"2,537,500",1.3%,"1,606,500",172.6%,"2,063,041,330",365,223,157.0%,"224,357",12,12,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,변희선,"조경이,엠머슨브룩김,이현경,김해나,강은애"
8,독립군: 끝나지 않은 전쟁,2025-08-13,"3,104,700",1.6%,"-4,759,300",-60.5%,"392,681,120",360,-447,-55.4%,"43,391",25,25,한국,한국,"주식회사 블루필름웍스,제니필름",주식회사 블루필름웍스,전체관람가,다큐멘터리,문승욱,조진웅
9,엔하이픈 브이알콘서트 : 이머전,2025-08-08,"11,649,000",5.9%,"-2,475,000",-17.5%,"623,934,000",353,-75,-17.5%,"19,198",1,8,한국,한국,(주)어메이즈브이알코리아,(주)어메이즈브이알코리아,전체관람가,드라마,김경국,
10,지리멸렬,,"960,000",0.5%,"-1,335,000",-58.2%,"11,102,500",320,-445,-58.2%,"3,702",75,86,한국,한국,한국영화아카데미,㈜인디스토리,12세이상관람가,코미디,봉준호,"유연수,윤일주,김뢰하,신동환"
11,킹 오브 킹스,2025-07-16,"2,543,500",1.3%,"-3,280,000",-56.3%,"12,243,171,076",313,-309,-49.7%,"1,297,859",23,25,한국,한국,(주)모팩스튜디오,(주)디스테이션,전체관람가,애니메이션,장성호,"이병헌,진선규,이하늬,양동근,차인표,권오중,장광,피어스 브로스넌,오스카 아이삭,케네스 브래너,우마 서먼,마크 해밀,포레스트 휘테커,벤 킹슬리,로만 그리핀 데이비스"
12,마지막 숙제,2025-09-03,"2,268,600",1.1%,"-2,193,200",-49.2%,"20,937,400",286,-171,-37.4%,"2,145",66,75,한국,한국,(주)스튜디오킬러웨일,"(주)이놀미디어,(주)스튜디오킬러웨일,(주)에스더블유콘텐츠",12세이상관람가,드라마,이정철,"엄태웅,박상면,이재준,최이나,윤현숙,정선우,이성종,전수경"
13,아이 캔 스피크,2017-09-21,"914,000",0.5%,"640,000",233.6%,"25,592,038,886",252,120,90.9%,"3,289,396",2,5,한국,한국,주식회사 영화사 시선,"(주)마노엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",12세이상관람가,코미디,김현석,"나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,이재인,최수인,이대연,박준서,이정현,홍상원,황연희,우지현,이신성,우상기,이정현,손성찬,정원창,김자영,김경덕,손경원,설창희,정태야,추연규,이승민,이범규,김선경"
14,"부정선거, 신의 작품인가 감독판",,"1,800,000",0.9%,"1,800,000",100.0%,"1,800,000",180,180,100.0%,180,1,1,한국,한국,,루디아코프,12세이상관람가,다큐멘터리,,
15,기적의 시작,2024-02-22,"1,106,000",0.6%,"1,106,000",100.0%,"229,589,752",158,158,100.0%,"26,916",1,1,한국,한국,퓨어웨이픽쳐스,퓨어웨이픽쳐스,12세이상관람가,다큐멘터리,권순도,임동진
16,다른 것으로 알려질 뿐이지,2025-08-27,"1,676,500",0.8%,"541,000",47.6%,"24,437,450",157,51,48.1%,"2,409",24,25,한국,한국,(주)보더리스필름,영화로운 형제,15세이상관람가,"드라마,멜로/로맨스",조희영,"공민정,정보람,정회린,감동환,류세일,유의태"
17,백산 - 의령에서 발해까지,2025-02-05,"1,078,000",0.5%,"868,000",413.3%,"133,135,000",154,132,600.0%,"20,248",1,1,한국,한국,(주)KNN,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,진재운,
18,경아의 딸,2022-06-16,"1,224,000",0.6%,"1,224,000",100.0%,"65,351,100",136,136,100.0%,"9,348",1,1,한국,한국,주마등필름,㈜인디스토리,15세이상관람가,드라마,김정은,"김정영,하윤경,임형태,이채경,이지하,최희진,김우겸,이세랑,양흥주,양석희,박혜진,장호준,김아석,유병훈,이혜림,방예인,김학룡,한서준,이슬이,이수아,이천희,변성범,박윤석,이지원,구자은,김예지,금동호,곽민준,장준휘,전소현,장리우,임용순,권오성,최혜영,이형주,박송열,목충헌"
19,건국전쟁2,2025-09-10,"1,558,500",0.8%,"-97,500",-5.9%,"3,214,500",135,-49,-26.6%,319,1,1,한국,한국,다큐스토리프로덕션,다큐스토리프로덕션,12세이상관람가,다큐멘터리,김덕영,
20,비밀일 수밖에,2025-09-10,"900,000",0.5%,"-6,255,000",-87.4%,"12,698,500",100,-695,-87.4%,"1,274",1,1,한국,한국,"(주)에이디사공육,주식회사 슈아픽처스","주식회사 슈아픽처스,(주)에이디사공육",12세이상관람가,"드라마,코미디",김대환,"장영남,류경수,스테파니 리,옥지영,박지일,박지아"
